id time ESJoint1 ESJoint2 ESJoint3 ESJoint4 ESJoint5 ESJoint6 gripper_finger_1_joint gripper_finger_2_joint
0 1742909990.740313 3.848058 0.729946 1.842714 1.702291 0.986970 3.103531 0.603365 0.899934
1 1742909991.340316 3.847902 0.730181 1.842891 1.702339 0.986970 3.103531 0.603365 0.899934
2 1742909991.840271 3.847784 0.730299 1.842949 1.702291 0.987018 3.103483 0.603365 0.899934
3 1742909992.440276 3.847725 0.730377 1.842969 1.702291 0.987018 3.103339 0.603365 0.899934
4 1742909992.840304 3.847686 0.730416 1.842989 1.702291 0.987114 3.103291 0.603365 0.899934
5 1742909993.340297 3.847686 0.730436 1.843008 1.702147 0.987210 3.103147 0.603365 0.899934
6 1742909993.940263 3.847667 0.730455 1.843028 1.702195 0.987210 3.103099 0.603365 0.899934
7 1742909994.540289 3.847647 0.730455 1.843028 1.702147 0.987306 3.102812 0.603365 0.899934
8 1742909995.040287 3.847647 0.730475 1.843047 1.702051 0.987306 3.102620 0.603365 0.899934
9 1742909995.540266 3.847647 0.730455 1.843047 1.701955 0.987306 3.102476 0.603365 0.899934
10 1742910015.440238 3.423105 1.230969 1.932432 1.527801 1.587620 2.663374 0.603365 0.905047
11 1742910028.240294 3.784030 1.581516 1.883089 1.220861 1.564274 3.648573 0.603365 0.905047
12 1742910033.040253 3.771675 1.869955 1.571820 1.243727 1.577745 3.075104 0.184077 1.365241
13 1742910038.040291 3.541860 1.595066 1.908211 1.181744 1.566575 3.510084 0.598252 0.894821
14 1742910043.140299 3.822134 1.698822 1.962233 1.027387 1.556461 3.925361 0.189191 1.370354
15 1742910048.340225 3.730047 1.534699 1.966051 1.187401 1.556221 3.946549 0.593138 0.899934
16 1742910053.440287 3.621181 1.450054 2.080675 1.156625 1.558570 3.837588 0.194304 1.365241
17 1742910058.440185 3.583625 1.903143 1.700541 1.080981 1.571561 3.299689 0.593138 0.894821
18 1742910063.640304 3.385178 1.823392 1.715736 1.145791 1.577217 3.068537 0.194304 1.365241
19 1742910068.840253 3.285749 2.106192 1.556293 1.026812 1.586517 2.708579 0.593138 0.894821
20 1742910078.440307 3.328141 1.814934 1.881523 0.987312 1.571225 3.331327 0.178964 1.360128
21 1742910083.540284 3.385139 2.213140 1.432486 1.037981 1.566192 3.510419 0.598252 0.894821
22 1742910089.140328 3.380694 2.219543 1.419798 1.048336 1.585750 2.751674 0.194304 1.360128
23 1742910094.240261 3.249917 1.965037 1.834432 0.897718 1.594762 2.294691 0.593138 0.894821
24 1742910101.040267 3.551435 1.986928 1.805257 0.891007 1.570937 3.353474 0.194304 1.360128
25 1742910107.040266 3.303352 2.195948 1.404036 1.093444 1.591550 2.473352 0.593138 0.894821
26 1742910112.140291 3.202258 2.008975 1.763316 0.934294 1.596967 1.934254 0.189191 1.365241
27 1742910119.740282 3.345097 1.922293 1.897598 0.879550 1.596536 2.196948 0.608478 0.899934
28 1742910125.740213 3.523396 2.297277 1.038646 1.350482 1.584024 2.880624 0.178964 1.365241
29 1742910130.940291 3.543251 1.777320 1.687325 1.220333 1.579854 3.046294 0.598252 0.894821
30 1742910140.740257 3.514977 2.260818 0.952591 1.470852 1.574581 3.264503 0.178964 1.365241
31 1742910145.440203 3.626369 2.355274 1.038783 1.291472 1.560008 3.805806 0.598252 0.899934
32 1742910150.840292 3.772361 2.304913 1.046361 1.335909 1.555837 3.989405 0.194304 1.365241
33 1742910156.340271 3.746554 2.330740 0.832073 1.521089 1.575444 3.243411 0.593138 0.894821
34 1742910161.340272 3.739328 2.244997 0.978378 1.460545 1.571896 3.377250 0.189191 1.370354
35 1742910166.240290 3.726562 2.439861 0.882787 1.361507 1.566431 3.573073 0.593138 0.894821
36 1742910169.940289 3.719924 2.486893 0.780597 1.416108 1.565808 3.613052 0.184077 1.370354
37 1742910175.240266 3.806372 2.194538 1.070993 1.421572 1.555837 4.024063 0.593138 0.894821
38 1742910180.140260 3.877213 2.060217 1.272377 1.356043 1.554064 4.094051 0.194304 1.370354
39 1742910185.340269 3.825756 1.834279 1.746575 1.106004 1.554351 4.042231 0.593138 0.894821
40 1742910196.640285 3.606221 2.023915 1.740994 0.916845 1.571465 3.426961 0.178964 1.360128
41 1742910202.440294 3.523220 2.123520 1.470570 1.096800 1.591838 2.616827 0.598252 0.899934
42 1742910207.640256 3.427002 2.276306 1.233393 1.172492 1.576258 3.271550 0.189191 1.370354
43 1742910214.940298 3.434834 1.925230 1.742482 1.014924 1.565089 3.652217 0.608478 0.905047
44 1742910220.040298 3.814693 1.793258 1.776709 1.116119 1.554543 4.032212 0.184077 1.365241
45 1742910225.340292 3.850525 1.886050 1.781741 1.016170 1.560248 3.786296 0.598252 0.899934
46 1742910230.340280 4.001686 2.002240 1.681039 0.998673 1.566096 3.567752 0.189191 1.370354
47 1742910237.540306 3.747278 1.618386 1.925500 1.139464 1.561158 3.772922 0.608478 0.899934
48 1742910242.440280 3.831924 1.746089 1.985534 0.951264 1.564083 3.676616 0.189191 1.365241
49 1742910248.740271 3.650081 1.833026 2.028787 0.826771 1.589441 2.737964 0.593138 0.899934
50 1742910257.740287 3.724839 1.852959 2.001864 0.834585 1.589825 2.697505 0.184077 1.365241
51 1742910262.740290 3.857476 2.060335 1.596060 1.032996 1.590112 2.664237 0.598252 0.894821
52 1742910267.840271 3.932822 2.003669 1.511767 1.186777 1.597638 2.146950 0.189191 1.365241
53 1742910273.340294 3.892153 1.852352 1.891861 0.942635 1.586709 2.858621 0.593138 0.899934
54 1742910278.540291 3.885613 2.106016 1.468553 1.107250 1.571704 3.401123 0.184077 1.370354
55 1742910283.540282 3.870830 2.119467 1.425770 1.136683 1.571657 3.406252 0.593138 0.899934
56 1742910288.440294 3.766819 2.277070 1.043404 1.366014 1.584504 2.922281 0.184077 1.370354
57 1742910294.340278 3.666646 2.338768 0.812611 1.554454 1.597447 2.080701 0.593138 0.894821
58 1742910299.540302 3.734942 2.381120 0.913763 1.415101 1.597590 1.949881 0.189191 1.365241
59 1742910304.640307 3.850565 2.102256 1.296853 1.307291 1.597782 2.066032 0.593138 0.894821
60 1742910335.440283 3.423399 1.230381 1.932138 1.528328 1.585894 2.665579 0.608478 0.905047
61 1742910340.940291 3.065490 1.158032 2.213116 1.333464 1.594810 1.970878 0.608478 0.905047
62 1742910347.040265 3.225774 1.206826 2.215270 1.265682 1.581244 2.870893 0.189191 1.360128
63 1742910352.240285 3.180270 1.497203 2.155942 1.042296 1.590208 2.362714 0.598252 0.899934
64 1742910357.540281 3.315041 1.897269 1.504679 1.294875 1.590975 2.297568 0.184077 1.370354
65 1742910362.440287 3.298241 2.186256 1.071933 1.440603 1.591790 2.228970 0.593138 0.894821
66 1742910367.840277 3.126032 2.135621 1.254089 1.315728 1.594810 1.954196 0.194304 1.365241
67 1742910372.840250 2.974597 2.089509 1.225854 1.378333 1.589585 2.484330 0.593138 0.899934
68 1742910377.840284 3.162843 2.074648 1.396262 1.230688 1.594427 2.128302 0.194304 1.360128
69 1742910383.240272 3.383142 2.293243 1.149824 1.247466 1.587188 2.633797 0.593138 0.894821
70 1742910393.840272 3.166113 2.070046 1.259376 1.371095 1.594427 2.171398 0.178964 1.360128
71 1742910399.140265 3.420873 2.202938 1.156461 1.331020 1.586709 2.693574 0.598252 0.899934
72 1742910404.340260 3.573032 2.488107 0.581543 1.617251 1.580477 2.980716 0.184077 1.370354
73 1742910409.340271 3.497668 2.404107 0.986582 1.296170 1.580765 2.942031 0.593138 0.894821
74 1742910414.540269 3.668976 2.183945 1.383437 1.118515 1.580765 2.954399 0.184077 1.365241
75 1742910419.840293 3.658579 1.937331 1.526589 1.219470 1.572232 3.254053 0.593138 0.899934
76 1742910424.840283 3.759770 1.962746 1.417017 1.304031 1.569260 3.381996 0.189191 1.370354
77 1742910429.840278 3.467024 2.099691 1.213147 1.371143 1.569212 3.372121 0.598252 0.894821
78 1742910435.340271 3.285025 1.799837 1.633811 1.256238 1.586757 2.655560 0.184077 1.370354
79 1742910440.540282 3.092334 1.950078 1.594670 1.141094 1.579518 3.000035 0.593138 0.899934
80 1742910449.640252 2.979806 1.757661 2.037657 0.891822 1.583928 2.850040 0.184077 1.365241
81 1742910456.640300 3.181112 1.764593 1.882130 1.049342 1.592797 2.313003 0.608478 0.899934
82 1742910461.840253 3.013523 1.849728 1.575462 1.273352 1.594762 2.213726 0.184077 1.365241
83 1742910467.340270 3.076455 1.684450 1.764099 1.269517 1.596488 1.501528 0.598252 0.899934
84 1742910472.340233 2.996097 1.529746 2.123849 1.058067 1.597015 1.736131 0.189191 1.365241
