id time ESJoint1 ESJoint2 ESJoint3 ESJoint4 ESJoint5 ESJoint6 gripper_finger_1_joint gripper_finger_2_joint
85 1742910477.540300 3.131671 1.826330 1.775103 1.099724 1.596536 2.124372 0.593138 0.894821
86 1742910482.540252 3.365559 1.838450 1.598410 1.260457 1.595194 2.285488 0.189191 1.365241
87 1742910488.340304 3.232823 1.396227 2.042180 1.281165 1.596488 1.459870 0.593138 0.894821
88 1742910493.440292 3.357198 1.747754 1.690829 1.279008 1.596823 1.572666 0.189191 1.365241
89 1742910498.440292 3.797482 1.802324 1.902767 1.000495 1.596967 2.014740 0.598252 0.894821
90 1742910508.040263 3.641192 1.829482 1.962429 0.916989 1.596775 1.881188 0.184077 1.365241
91 1742910513.240263 3.727228 1.841798 1.985064 0.876386 1.596632 2.082619 0.598252 0.899934
92 1742910518.140299 3.399022 1.419195 2.306006 0.983429 1.596919 1.852138 0.184077 1.365241
93 1742910523.240261 3.051372 1.298364 2.354526 1.048911 1.596536 2.112723 0.598252 0.894821
94 1742910528.440256 3.587718 1.453656 2.096985 1.151448 1.596296 2.119482 0.184077 1.370354
95 1742910533.540262 3.915493 1.847829 1.794312 1.053609 1.592701 2.421437 0.593138 0.894821
96 1742910538.740261 3.525158 1.766668 1.800049 1.131938 1.594618 2.272688 0.189191 1.365241
97 1742910543.840268 3.763236 1.683119 1.860337 1.143634 1.583066 2.902915 0.598252 0.899934
98 1742910548.940268 3.899750 1.891317 1.515663 1.279583 1.580812 3.006794 0.184077 1.370354
99 1742910554.440261 3.876587 2.097753 1.390467 1.198330 1.561398 3.746221 0.598252 0.894821
100 1742910565.940265 4.002371 1.902184 1.520754 1.262949 1.563891 3.686156 0.184077 1.365241
101 1742910571.740276 3.927770 2.028556 1.531014 1.129253 1.584168 2.854211 0.598252 0.899934
102 1742910576.740296 3.762942 2.145450 1.214556 1.338258 1.592653 2.329494 0.189191 1.370354
103 1742910582.040262 3.654115 2.404675 0.698437 1.592132 1.591359 2.496170 0.598252 0.894821
104 1742910587.240288 3.441296 2.313391 0.975970 1.404315 1.589968 2.600337 0.189191 1.365241
105 1742910592.540256 3.473662 2.334068 0.958269 1.404795 1.591982 2.415780 0.598252 0.899934
106 1742910598.540257 3.703124 2.080287 1.302923 1.302162 1.573526 3.339668 0.189191 1.365241
107 1742910604.940287 3.609256 1.604112 2.194672 0.887795 1.581388 2.960583 0.598252 0.894821
108 1742910610.140260 3.608336 2.056477 1.687129 0.951935 1.592174 2.404707 0.184077 1.370354
109 1742910615.340253 3.512490 2.242608 1.378738 1.069476 1.589393 2.637057 0.598252 0.894821
110 1742910615.340253 3.512490 2.242608 1.378738 1.069476 1.589393 2.637057 0.598252 0.894821
